tests;A*;AStarAlloc;Dijkstra
50;0,0449432835820895;0,0738880597014925;0,0519676616915423;
100;0,065887064676617;0,144494029850746;0,101657213930348;
150;0,0975537313432836;0,286807462686567;0,184682587064677;
200;0,14142736318408;0,474885074626866;0,283106965174129;
250;0,178249253731343;0,755825870646766;0,400528358208955;
300;0,200292537313433;0,861592537313433;0,525294527363184;
350;0,252469651741293;1,23720995024876;0,684991044776119;
400;0,272795024875622;1,34082935323383;0,850874626865672;
450;0,303076119402985;1,86786119402985;1,07464378109453;
500;0,337545771144279;2,38390597014925;1,28428308457711;
550;0,423167661691542;2,70213034825871;1,54577213930348;
600;0,377689552238806;3,3051144278607;1,75190696517413;
650;0,467281592039801;2,90958855721393;2,02263482587065;
700;0,481092537313433;3,6653;2,33174527363184;
750;0,601937313432836;4,70642338308458;2,63360696517413;
800;0,612136815920398;5,27606965174129;2,96188059701492;
850;0,680893034825871;6,43661542288558;3,31626368159204;
900;0,720809950248756;7,53911393034826;3,6625447761194;
950;0,867935323383084;7,21349402985075;4,10142537313433;
1000;0,86430447761194;7,56350199004975;4,51400945273632;
1050;0,827850248756219;8,40443333333334;4,89706517412935;
1100;0,95190447761194;10,2768402985075;5,34284378109452;
1150;0,873888059701492;9,9322631840796;5,88509402985075;
1200;1,03843134328358;11,2012392835821;6,35707611940299;
1250;1,00058606965174;10,0432139502488;6,81400547263682;
1300;1,16211691542289;12,3868487363184;7,37744278606965;
1350;1,15452587064677;15,7066592039801;7,95932985074627;
1400;1,20785174129353;16,2077268855721;8,48280298507462;
1450;1,29864676616915;13,2490214129353;9,04408457711443;
1500;1,38982189054726;15,0840174328358;9,71141741293533;
1550;1,56829104477612;17,0850731144279;10,3469014925373;
1600;1,39112835820895;19,2771573731343;10,9444552238806;
1650;1,78191691542289;19,5873965174129;11,6170577114428;
1700;1,61699701492537;17,2648034626866;12,3137880597015;
1750;1,77122587064677;21,016723840796;13,0183616915423;
1800;1,7033671641791;20,4629726567164;13,7335865671642;
1850;1,74747064676617;22,2648616915423;14,4846641791045;
1900;1,96935472636816;24,8422891343284;15,2742368159204;
1950;1,84884925373134;23,468216318408;15,9728278606965;
2000;2,01605273631841;23,4764491940299;16,8294915422886;
2050;2,06052885572139;27,5260233233831;17,63462039801;
2100;2,0485592039801;27,5505945671642;18,4819199004975;
2150;2,17610597014925;26,775131721393;19,3127696517413;
2200;2,22810248756219;27,3385979502487;20,2128223880597;
2250;2,44347711442786;34,0640243781094;21,0545890547264;
2300;2,3558184079602;28,4761417512438;22,0654651741294;
2350;2,43406616915423;36,7498696716418;22,9692323383085;
2400;2,4631447761194;32,892383681592;23,9710343283582;
2450;2,82025721393035;33,7546418308458;24,9595965174129;
2500;2,86137114427861;37,1635054925373;25,9102781094527;
2550;2,76900895522388;36,66451639801;26,9721517412935;
2600;2,64478109452736;35,5966706865672;28,0793925373134;
2650;2,8815552238806;30,6624691144279;29,0858781094527;
2700;3,4410631840796;32,7183423681592;30,185655721393;
2750;3,0292631840796;38,85347560199;31,2782223880597;
2800;3,33655870646766;36,7200054328358;32,3062139303482;
2850;2,96313383084577;34,2155432437811;33,5134462686567;
2900;3,1468328358209;39,4694986666666;34,6284363184079;
2950;3,2194328358209;42,0453605572139;35,8509930348259;